time,Desa,Dusun,DiseasestoPlot,MOUYN,GIS_time,Desa_pop_2018,Disease_cat,NumDiagnoses,TotalYearlyPatients
Before,Batu Barat,Matan Raya,Anemia,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Matan Raya,Childhood-cluster diseases,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Matan Raya,COPD,1,70.29468539,6060.124325,Non-infectious,2,16
Before,Batu Barat,Matan Raya,Dental disease,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Matan Raya,Diabetes,1,70.29468539,6060.124325,Non-infectious,0,16
Before,Batu Barat,Matan Raya,Diarrheal disease,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Matan Raya,Heart Disease,1,70.29468539,6060.124325,Non-infectious,0,16
Before,Batu Barat,Matan Raya,Liver Disease,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Matan Raya,Lower respiratory infections,1,70.29468539,6060.124325,Infectious,1,16
Before,Batu Barat,Matan Raya,Malaria,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Matan Raya,Malnutrition,1,70.29468539,6060.124325,Non-infectious,0,16
Before,Batu Barat,Matan Raya,NTD,1,70.29468539,6060.124325,Infectious,0,144
Before,Batu Barat,Matan Raya,Trauma,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Matan Raya,Tuberculosis,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Matan Raya,Untracked,1,70.29468539,6060.124325,Untracked,16,64
Before,Batu Barat,Matan Raya,Upper respiratory infections,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Rembayan,Anemia,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Rembayan,Childhood-cluster diseases,1,70.29468539,6060.124325,Infectious,0,16
Before,Batu Barat,Rembayan,COPD,1,70.29468539,6060.124325,Non-infectious,2,16
Before,Batu Barat,Rembayan,Dental disease,1,70.29468539,6060.124325,Other,0,16
Before,Batu Barat,Rembayan,Diabetes,1,70.29468539,6060.124325,Non-infectious,0,16
Before,Batu Barat,Rembayan,Diarrheal disease,1,70.29468539,6060.124325,Infectious,1,16
Before,Batu Barat,Rembayan,Heart Disease,1,70.29468539,6060.124325,Non-infectious,0,16
