Desa,MOUYN,GIS_time,Desa_pop_2018,UniquePatients
Batu Barat,1,70.29468539,6060.124325,475
Benawai Agung,1,17.06187228,1926.634229,856
Dusun Besar,0,92.71279477,2549.726264,85
Dusun Kecil,0,77.42309111,3649.850594,46
Gunung Sembilan,1,13.15897732,1135.185395,422
Harapan Mulia,1,19.01608989,3191.567392,1015
Jago,1,224.1739555,524.2931057,2
Kamboja,0,65.58999186,3817.838647,69
Laman Satong,1,82.1973091,8179.765766,489
Mata-Mata,1,65.49705557,3796.506608,554
Matan Jaya,1,141.8508212,6867.039518,335
Medan Jaya,1,33.86434461,728.4516499,541
Nipah Kuning,0,31.2427472,1124.047314,2
Pampang Harapan,0,31.7275243,1975.457593,191
Pangkalan Buton,1,6.915062307,3747.294031,2641
Pangkalan Teluk,1,115.6102257,2983.493795,23
Penjalaan,1,30.56584123,1804.552572,541
Rantau Panjang,1,25.42905902,2486.178406,1237
Riam Berasap Jaya,1,34.40359459,1267.178309,412
Satai Lestari,0,67.77335014,1207.443819,96
Sedahan Jaya,1,31.7497088,2747.660141,967
Sejahtera,1,21.20352088,4058.735046,578
Sempurna,1,194.5201699,774.2022247,20
Simpang Tiga,1,30.72844449,3222.840711,542
Sutra,1,7.79887168,3833,3832
Tanjung Satai,0,92.48925745,2994.249809,35
Teluk Bayur,1,208.8126185,1025.443866,27
Teluk Melano,1,28.86850416,1481.569025,901
